IDX001:DIM16777216:001|002|003|004|005|006|007|008|009|010|011|012|
IDX002:DIM16777216:013|014|015|016|017|018|019|020|021|022|023|024|
 Solve OO-CMF with DIIS
Overwritten attributes  conv_tol_residual  of <class 'pyscf.fci.direct_spin1.FCISolver'>
 ooCMF Iter:    1 Total= -3343.972837893259 G=     1.14e-01 #SS:    1
 ooCMF Iter:    2 Total= -3343.974798704387 G=     5.86e-02 #SS:    2
 ooCMF Iter:    3 Total= -3343.975378691941 G=     4.28e-02 #SS:    3
 ooCMF Iter:    4 Total= -3343.975982933742 G=     1.68e-02 #SS:    4
 ooCMF Iter:    5 Total= -3343.976063226872 G=     7.00e-03 #SS:    5
 ooCMF Iter:    6 Total= -3343.976073263937 G=     1.94e-03 #SS:    6
 ooCMF Iter:    7 Total= -3343.976074921267 G=     1.61e-03 #SS:    7
 ooCMF Iter:    8 Total= -3343.976076671793 G=     1.55e-03 #SS:    8
 ooCMF Iter:    9 Total= -3343.976077386759 G=     1.51e-03 #SS:    8
 ooCMF Iter:   10 Total= -3343.976093336716 G=     8.20e-04 #SS:    8
 ooCMF Iter:   11 Total= -3343.976095314456 G=     6.66e-04 #SS:    8
 ooCMF Iter:   12 Total= -3343.976096449681 G=     5.08e-04 #SS:    8
 ooCMF Iter:   13 Total= -3343.976096592660 G=     4.92e-04 #SS:    8
 ooCMF Iter:   14 Total= -3343.976096637331 G=     4.90e-04 #SS:    8
 ooCMF Iter:   15 Total= -3343.976096876645 G=     4.81e-04 #SS:    8
 ooCMF Iter:   16 Total= -3343.976097352398 G=     4.66e-04 #SS:    8
 ooCMF Iter:   17 Total= -3343.976097835547 G=     4.50e-04 #SS:    8
 ooCMF Iter:   18 Total= -3343.976099470463 G=     3.80e-04 #SS:    8
 ooCMF Iter:   19 Total= -3343.976100995800 G=     2.93e-04 #SS:    8
 ooCMF Iter:   20 Total= -3343.976102114065 G=     1.72e-04 #SS:    8
 ooCMF Iter:   21 Total= -3343.976102258746 G=     1.19e-04 #SS:    8
 ooCMF Iter:   22 Total= -3343.976102311848 G=     6.01e-05 #SS:    8
 ooCMF Iter:   23 Total= -3343.976102316750 G=     3.92e-05 #SS:    8
 ooCMF Iter:   24 Total= -3343.976102317708 G=     3.15e-05 #SS:    8
 ooCMF Iter:   25 Total= -3343.976102318019 G=     2.87e-05 #SS:    8
 ooCMF Iter:   26 Total= -3343.976102318345 G=     2.72e-05 #SS:    8
 ooCMF Iter:   27 Total= -3343.976102319411 G=     2.39e-05 #SS:    8
 ooCMF Iter:   28 Total= -3343.976102320000 G=     2.15e-05 #SS:    8
 ooCMF Iter:   29 Total= -3343.976102320191 G=     1.88e-05 #SS:    8
 ooCMF Iter:   30 Total= -3343.976102319974 G=     1.67e-05 #SS:    8
 ooCMF Iter:   31 Total= -3343.976102319834 G=     1.57e-05 #SS:    8
 ooCMF Iter:   32 Total= -3343.976102319776 G=     1.50e-05 #SS:    8
 ooCMF Iter:   33 Total= -3343.976102319793 G=     1.48e-05 #SS:    8
 ooCMF Iter:   34 Total= -3343.976102319944 G=     1.42e-05 #SS:    8
 ooCMF Iter:   35 Total= -3343.976102320271 G=     1.37e-05 #SS:    8
 ooCMF Iter:   36 Total= -3343.976102320654 G=     1.31e-05 #SS:    8
 ooCMF Iter:   37 Total= -3343.976102321565 G=     1.19e-05 #SS:    8
 ooCMF Iter:   38 Total= -3343.976102322749 G=     9.82e-06 #SS:    8
 ooCMF Iter:   39 Total= -3343.976102323153 G=     8.61e-06 #SS:    8
 ooCMF Iter:   40 Total= -3343.976102323282 G=     7.78e-06 #SS:    8
 ooCMF Iter:   41 Total= -3343.976102323346 G=     7.03e-06 #SS:    8
 ooCMF Iter:   42 Total= -3343.976102323408 G=     6.27e-06 #SS:    8
 ooCMF Iter:   43 Total= -3343.976102323437 G=     5.86e-06 #SS:    8
 ooCMF Iter:   44 Total= -3343.976102323463 G=     5.60e-06 #SS:    8
 ooCMF Iter:   45 Total= -3343.976102323491 G=     5.34e-06 #SS:    8
 ooCMF Iter:   46 Total= -3343.976102323550 G=     4.75e-06 #SS:    8
 ooCMF Iter:   47 Total= -3343.976102323584 G=     4.10e-06 #SS:    8
 ooCMF Iter:   48 Total= -3343.976102323579 G=     3.91e-06 #SS:    8
 ooCMF Iter:   49 Total= -3343.976102323583 G=     3.75e-06 #SS:    8
 ooCMF Iter:   50 Total= -3343.976102323585 G=     3.63e-06 #SS:    8
 ooCMF Iter:   51 Total= -3343.976102323611 G=     3.46e-06 #SS:    8
 ooCMF Iter:   52 Total= -3343.976102323630 G=     3.30e-06 #SS:    8
 ooCMF Iter:   53 Total= -3343.976102323658 G=     3.07e-06 #SS:    8
 ooCMF Iter:   54 Total= -3343.976102323727 G=     2.37e-06 #SS:    8
 ooCMF Iter:   55 Total= -3343.976102323760 G=     1.96e-06 #SS:    8
 ooCMF Iter:   56 Total= -3343.976102323763 G=     1.84e-06 #SS:    8
 ooCMF Iter:   57 Total= -3343.976102323761 G=     1.78e-06 #SS:    8
 ooCMF Iter:   58 Total= -3343.976102323764 G=     1.73e-06 #SS:    8
